item_number,duration,price AUD,cost_material AUD,price IDR,cost_material IDR
011,30.0,49.0,15,160000,48000
012,15.0,33.0,10,140000,42000
013,15.0,30.0,9,110000,33000
014,15.0,34.0,10,100000,30000
015,30.0,83.0,25,260000,78000
016,15.0,37.0,11,120000,36000
017,30.0,103.0,31,300000,90000
018,15.0,17.0,5,60000,18000
019,15.0,12.0,4,50000,15000
022,15.0,6.0,2,30000,9000
025,30.0,32.0,10,110000,33000
026,30.0,43.0,13,150000,45000
031,30.0,22.0,7,100000,30000
033,30.0,24.0,7,110000,33000
035,30.0,22.0,7,100000,30000
036,30.0,24.0,7,120000,36000
037,5.0,27.0,8,90000,27000
038,30.0,26.0,8,84000,25200
039,60.0,78.0,23,250000,75000
041,60.0,0.0,0,0,0
042,60.0,0.0,0,0,0
043,60.0,0.0,0,0,0
044,30.0,0.0,0,0,0
047,30.0,61.0,18,198000,59400
048,30.0,100.0,30,310000,93000
051,60.0,0.0,0,0,0
052,60.0,0.0,0,0,0
053,60.0,0.0,0,0,0
054,60.0,0.0,0,0,0
055,30.0,0.0,0,0,0
056,60.0,0.0,0,0,0
059,60.0,0.0,0,0,0
061,30.0,28.0,8,90000,27000
071,10.0,33.0,10,100000,30000
072,15.0,29.0,9,100000,30000
073,30.0,28.0,8,90000,27000
074,30.0,107.0,32,350000,105000
075,30.0,46.0,14,170000,51000
081,45.0,38.0,11,120000,36000
082,15.0,43.0,13,120000,36000
083,60.0,0.0,0,0,0
085,30.0,0.0,0,0,0
086,60.0,0.0,0,0,0
087,60.0,0.0,0,0,0
088,60.0,0.0,0,0,0
089,60.0,0.0,0,0,0
090,30.0,0.0,0,0,0
091,30.0,0.0,0,0,0
111,15.0,84.0,25,260000,78000
113,15.0,86.0,26,280000,84000
114,30.0,83.0,25,260000,78000
115,15.0,76.0,23,250000,75000
116,15.0,40.0,12,150000,45000
117,15.0,80.0,24,260000,78000
118,3.0,56.0,17,220000,66000
119,15.0,197.0,59,660000,198000
121,5.0,29.0,9,120000,36000
122,30.0,66.0,20,200000,60000
123,5.0,70.0,21,210000,63000
131,15.0,26.0,8,90000,27000
141,15.0,14.0,4,60000,18000
142,15.0,11.0,3,60000,18000
151,15.0,169.0,51,530000,159000
153,15.0,22.0,7,80000,24000
161,15.0,24.0,7,90000,27000
165,15.0,70.0,21,230000,69000
171,5.0,58.0,17,198000,59400
213,30.0,84.0,25,260000,78000
221,15.0,45.0,14,140000,42000
222,5.0,44.0,13,170000,51000
223,30.0,567.0,170,1680000,504000
231,15.0,74.0,22,250000,75000
232,15.0,142.0,43,460000,138000
233,30.0,1437.0,431,4410000,1323000
234,45.0,32.0,10,100000,30000
235,45.0,117.0,35,340000,102000
236,60.0,549.0,165,1650000,495000
237,60.0,90.0,27,280000,84000
238,30.0,231.0,69,710000,213000
241,15.0,259.0,78,790000,237000
242,30.0,56.0,17,190000,57000
243,10.0,402.0,121,1200000,360000
244,60.0,400.0,120,1180000,354000
245,30.0,119.0,36,342000,102600
246,45.0,499.0,150,1580000,474000
247,120.0,256.0,77,948000,284400
250,60.0,114.0,34,351000,105300
251,30.0,112.0,34,324000,97200
311,30.0,89.0,27,270000,81000
314,45.0,143.0,43,50000,15000
322,30.0,199.0,60,590000,177000
323,45.0,298.0,89,940000,282000
324,90.0,509.0,153,1560000,468000
331,30.0,179.0,54,606000,181800
332,30.0,179.0,54,606000,181800
337,30.0,287.0,86,940000,282000
338,30.0,297.0,89,970000,291000
341,30.0,294.0,88,890000,267000
343,30.0,86.0,26,310000,93000
344,30.0,297.0,89,890000,267000
345,30.0,86.0,26,270000,81000
351,15.0,126.0,38,450000,135000
352,60.0,385.0,116,1230000,369000
353,60.0,506.0,152,1600000,480000
354,60.0,506.0,152,1600000,480000
355,60.0,376.0,113,1365000,409500
359,60.0,503.0,151,1824000,547200
361,15.0,23.0,7,84000,25200
363,60.0,226.0,68,819000,245700
365,60.0,132.0,40,480000,144000
366,60.0,132.0,40,480000,144000
371,60.0,297.0,89,1077000,323100
373,60.0,297.0,89,1077000,323100
375,60.0,301.0,90,1092000,327600
376,60.0,297.0,89,1077000,323100
377,30.0,297.0,89,1077000,323100
378,30.0,86.0,26,313500,94050
379,30.0,279.0,84,1011000,303300
381,30.0,429.0,129,1557000,467100
382,30.0,344.0,103,1248000,374400
384,15.0,84.0,25,306000,91800
385,15.0,91.0,27,330000,99000
386,30.0,118.0,35,427500,128250
387,30.0,91.0,27,330000,99000
388,30.0,212.0,64,768000,230400
389,30.0,301.0,90,1092000,327600
